người,61674
xe,58356
đường,35930
khi,35907
dân,25140
ngày,24348
Công an,23696
sau,21671
tỉnh,21441
huyện,20121
xe máy,19483
nhà,18166
giao thông,16310
việc,15860
vụ,15537
quận,14675
xã,14275
số,14048
hiện trường,13644
vụ việc,13549
lực lượng,13224
tuyến,13144
phương tiện,12909
Bộ,12851
nước,12629
ô tô,12602
đất,12484
tài xế,12410
phường,11685
biển,10945
khu vực,10906
gia đình,10679
thông tin,10415
đoạn,9805
tai nạn,9727
năm,9534
trên,8373
đầu,8258
Sau,8217
thành phố,8199
cầu,8173
tháng,7896
tuổi,7850
cơ quan,7819
nguyên nhân,7807
phía,7649
xe buýt,7473
dự án,7358
công tác,7357
bên,7206
công an,7159
chức năng,6768
sáng,6722
đơn vị,6680
xe tải,6563
Cảnh sát,6454
thanh niên,6345
quy định,6283
vùng,6147
Sở,6087
thời gian,6070
nơi,6043
địa phương,6026
Công ty,5964
chiều,5882
sự việc,5744
tầng,5723
sự,5469
khách,5377
tàu,5287
đàn ông,5264
nạn nhân,5263
mạng,5207
Phòng,5197
bé,5145
chủ,5127
lãnh đạo,5062
trâu,5026
sông,4987
giờ,4970
khoảng,4969
hành khách,4832
clip,4829
môi trường,4640
xã hội,4632
Khi,4617
cảnh sát,4492
con,4425
Quốc lộ,4419
cá,4402
hệ thống,4395
cá nhân,4310
vợ chồng,4277
khu,4234
pháp luật,4173
trách nhiệm,4157
hành vi,4135
Ban,4081
lớp,4079
nhóm,4009
Trước,3985
tình trạng,3972
địa bàn,3971
chỗ,3967
lửa,3940
nam,3859
vấn đề,3840
chung cư,3833
Ngày,3768
trường hợp,3730
phố,3712
sự cố,3680
cơ quan chức năng,3630
cao tốc,3629
công trình,3595
Hiện,3575
gỗ,3561
Chủ tịch,3560
Ảnh,3530
cán bộ,3499
nguồn,3450
cảng,3448
Giám đốc,3424
quá trình,3360
đường sắt,3328
Trung tâm,3318
hướng,3295
đối tượng,3280
cửa,3244
lần,3210
đường bộ,3186
chợ,3162
trước,3135
Bệnh viện,3126
đô thị,3120
tin,3081
nội dung,3073
hiện nay,3057
Thông tin,3056
nạn,3036
quốc lộ,3034
loại,3026
lái xe,2985
Cục,2970
lúc,2960
chuyến,2939
nhau,2904
phí,2902
hộ,2902
thời điểm,2873
phần,2868
em,2866
tiền,2822
tài sản,2818
Lực lượng,2812
Chính phủ,2809
Dân trí,2803
tuyến đường,2796
báo,2787
công nghệ,2782
thôn,2743
vụ án,2735
quyền,2732
tay,2725
công nhân,2691
gái,2677
vị trí,2656
kinh tế,2639
bến,2615
vợ,2603
toà,2602
Giao thông,2592
ý kiến,2580
thi thể,2572
ban đầu,2542
Việc,2541
Bí thư,2537
cách,2532
bão,2513
mẹ,2510
Bộ trưởng,2495
điều kiện,2485
đá,2476
chất lượng,2466
bãi,2465
Đội,2448
nữ sinh,2421
sau đó,2417
kết quả,2415
hiệu quả,2399
ngoài,2387
dân cư,2385
giá,2379
khói,2366
cảnh,2355
rác,2351
Môi trường,2349
chất thải,2341
đồng,2333
phòng,2327
ngành,2325
ga,2320
biện pháp,2316
hiện,2314
hàng,2313
trung tâm,2305
cơ sở,2283
buổi,2255
sân bay,2247
nữ,2239
Vụ,2225
tổ,2205
dịch vụ,2198
xăng,2197
ruộng,2194
nhà nước,2161
hợp đồng,2140
Dân,2124
bệnh viện,2122
bộ,2120
trạm,2109
doanh nghiệp,2105
Cơ quan,2075
điểm,2072
Trung ương,2068
quyết định,2060
tình hình,2060
đề án,2058
chính quyền,2042
dầu,2028
màu,2027
văn bản,2004
bệnh nhân,2001
