và,93326
đã,71290
của,61438
các,57364
trên,43783
để,37725
với,36846
không,35302
trong,35123
tại,31610
ở,30833
này,30345
đó,29468
vào,29357
đang,28384
nhiều,27010
về,26455
đến,24810
từ,24412
ông,23257
cho,21711
cũng,20033
chiếc,19139
thì,18849
sẽ,18264
anh,17776
người,16537
nhưng,16451
do,15426
được,15291
những,14421
chưa,13408
cùng,13251
nên,13004
rất,12297
vẫn,11445
còn,10997
hơn,10631
một số,10326
là,10186
như,9869
cả,9185
chỉ,8952
gần,8873
rõ,8780
mới,8755
đồng,8454
cháu,8263
lớn,8229
tới,8054
mà,7669
vì,7570
giữa,7494
chị,7260
Ông,6967
Trong,6854
bằng,6805
đây,6779
đối với,6514
cao,6459
khác,6415
hàng,6412
nay,6263
dưới,6048
Tuy nhiên,5755
tôi,5597
trước,5430
con,5358
vừa,5140
bà,5046
rồi,5015
mình,4922
tạm,4713
an toàn,4677
Nhiều,4594
bất ngờ,4500
Tại,4492
có thể,4371
chúng tôi,4368
lại,4251
làn,4087
nhanh,3918
m,3880
từng,3808
Các,3770
Tôi,3685
đều,3651
Ngay,3651
đúng,3628
km,3566
khoảng,3430
video,3323
đặc biệt,3319
tấn,3247
tự,3227
nhỏ,3200
vào khoảng,3195
nào,3173
gì,3152
Người,3141
hoặc,3117
nếu,3010
quá,2994
khó khăn,2972
may,2967
nặng,2960
Một số,2954
chính,2930
mọi,2884
qua,2829
tốt,2750
ngay,2726
nghiêm trọng,2715
Chiếc,2667
họ,2607
chính thức,2578
Đây,2488
Đồng thời,2481
container,2454
mạnh,2444
hay,2338
mỗi,2227
nguy hiểm,2224
dài,2190
Rất,2173
vừa qua,2171
hoàn toàn,2170
thiệt hại,2168
tại chỗ,2164
đầu tiên,2136
nhất,2104
dữ dội,2089
Ngoài ra,2083
Nếu,2071
nhất là,2054
đông,2040
nguyên,2028
công cộng,2008
vụ,1956
sớm,1938
rằng,1927
thường xuyên,1915
Cũng,1914
luôn,1900
Anh,1898
ngôi,1890
cụ thể,1879
cũng như,1855
nhanh chóng,1814
mét,1813
kín,1811
Bà,1783
Do,1773
sâu,1766
Về,1757
đủ,1746
khá,1735
ngoài,1729
Còn,1720
chứ,1718
riêng,1711
camera,1706
Những,1699
trắng,1693
nhẹ,1673
toàn bộ,1663
lạnh,1656
xa,1651
đâu,1651
ai,1620
Chúng tôi,1614
kịp thời,1613
xanh,1608
Trên,1598
đồng thời,1591
trái,1565
bởi,1564
cô,1555
thấp,1551
