có,55870
bị,44146
được,37432
ra,36097
là,31179
đi,23992
cháy,23546
biết,21688
làm,19937
cho,18746
Theo,17733
gây,17125
theo,15902
phải,14124
khiến,13711
xảy,13129
điều tra,12857
xử lý,12441
lại,12353
xuống,11624
đưa,11447
chạy,10547
lên,10249
qua,9445
chết,9394
điều khiển,9145
nói,9020
tử vong,8766
chở,8421
giao,8100
đến,7979
xây dựng,7738
sử dụng,7692
thực hiện,7574
tiếp tục,7173
xảy ra,7167
đầu tư,7050
về,6997
thấy,6900
kiểm tra,6892
thuộc,6743
có mặt,6065
ngập,5794
tổ chức,5696
lưu thông,5561
ngã,5424
mang,5403
rơi,5359
nhận,5334
vận tải,5326
thông,5282
chữa cháy,5193
cần,5043
ô tô,5029
hoạt động,4977
đổ,4929
liên quan,4914
xem,4906
giải quyết,4847
phối hợp,4827
hạn chế,4802
giữ,4760
dừng,4754
phát hiện,4715
tham gia,4670
kéo,4639
nằm,4506
khai thác,4452
ảnh hưởng,4411
quản lý,4324
mất,4318
cứu,4144
cấm,4127
bắt,4094
cứu hộ,4071
làm việc,4066
chia sẻ,4066
phát,4064
chỉ đạo,3889
dùng,3844
bán,3800
phát triển,3777
đảm bảo,3714
thoát,3710
dẫn,3704
huy động,3620
thiệt hại,3609
tránh,3580
va chạm,3558
yêu cầu,3527
hư hỏng,3524
đề nghị,3506
đánh,3488
thi công,3462
chống,3419
vi phạm,3402
sống,3397
đánh bạc,3353
sửa chữa,3332
ngụ,3330
phù hợp,3306
xác định,3286
phục vụ,3285
xuất hiện,3268
tăng,3261
tràn,3190
đứng,3159
chờ,3148
bay,3146
triển khai,3122
cho biết,3115
sang,3031
bị thương,3029
xử phạt,3021
kinh doanh,3007
gặp,2986
rụi,2974
khởi tố,2930
tập trung,2928
đón,2865
lao,2780
lấy,2755
tiến hành,2740
thêm,2734
báo cáo,2712
xuống đường,2710
di chuyển,2709
muốn,2708
hợp tác,2678
xác minh,2669
húc,2669
kéo dài,2662
ô nhiễm,2654
khám nghiệm,2647
thông báo,2646
cấp cứu,2645
Trao đổi,2641
nêu,2622
bảo vệ,2560
hết,2557
đốt,2533
hoàn thành,2524
thu,2519
khỏi,2518
ngồi,2496
ghi,2493
trao đổi,2469
hỗ trợ,2457
khắc phục,2422
thải,2420
cho rằng,2409
h,2407
trượt,2404
gửi,2397
tìm,2372
đâm,2360
kể,2350
vượt,2329
quay,2274
gọi,2254
học,2238
trả,2237
chịu,2229
cắt,2222
mặc,2155
lái,2155
bốc,2076
nứt,2030
Nhận,2029
đề xuất,1999
Được,1992
Đến,1988
thông tin,1979
nuôi,1975
Liên quan,1966
cho hay,1954
kiểm soát,1953
xin,1953
mắc kẹt,1943
khẳng định,1938
đỗ,1936
chuyển,1936
ký,1935
cấp,1934
tới,1913
nghi,1904
tông,1891
quy định,1882
thi thể,1870
sập,1859
tạo,1829
vào,1828
nghỉ,1817
thăm,1815
khống chế,1810
lan,1787
mất tích,1781
tiếp nhận,1781
bồi thường,1781
Bấm,1771
tính,1769
thông qua,1766
hành động,1708
gắn,1703
dọn dẹp,1701
mua,1701
dắt,1698
bàn giao,1697
thiếu,1678
phòng chống,1642
chữa,1641
tổn thương,1634
nổ,1621
đánh giá,1603
nghiên cứu,1594
còn,1593
điều hành,1588
họp,1584
kết luận,1575
hỏi,1572
nhấn mạnh,1523
giảm,1523
xác nhận,1521
hoàn thiện,1516
vận chuyển,1514
một phen,1513
gồm,1491
buýt,1487
sạt lở,1487
bắt đầu,1477
dập,1474
ùn tắc,1468
bảo,1461
mưa,1459
nhờ,1454
điều chỉnh,1428
consider,1424
please,1424
view,1424
that,1424
web,1424
cố tình,1422
thành,1420
chứng kiến,1419
tiếp,1416
thiêu,1412
đậu,1386
kiểm điểm,1382
lưu,1378
trú,1376
nghe,1367
xuất,1363
trở lại,1351
rà soát,1345
phân cách,1341
xả,1339
rửa,1329
đặt,1329
đáp ứng,1325
bỏ,1323
khai,1322
hiểu,1321
lập,1309
thành công,1307
bám,1304
giúp,1294
Thấy,1292
trở thành,1291
ra vào,1291
nhằm,1285
thay đổi,1268
gia tăng,1266
đăng tải,1264
giam,1258
hốt hoảng,1256
dính,1248
bảo đảm,1243
diễn,1230
sinh sống,1230
viết,1223
đấu,1221
yêu,1202
Ngọn lửa,1200
báo,1200
vận hành,1199
đi vào,1192
chuẩn bị,1188
nâng,1176
trang bị,1171
nắm,1171
Có,1169
bắt giữ,1158
trả lời,1157
du lịch,1157
mở rộng,1154
sinh,1152
vào cuộc,1150
tìm kiếm,1146
quyết định,1145
cảnh báo,1130
bê tông,1129
tháo chạy,1126
khám,1123
phá,1122
cướp,1113
đi lại,1111
lật,1109
chỉ huy,1108
giải phóng,1108
lo,1103
đám cháy,1099
đưa vào,1098
xoay,1093
khẩn trương,1092
xong,1078
cao độ,1078
ủng hộ,1074
đè,1072
nuôi trồng,1071
tặng,1064
phản ứng,1064
bao trùm,1062
áp dụng,1052
bố trí,1042
vận động,1040
buông,1040
chấp hành,1038
chủ trì,1035
dành,1031
hâm mộ,1030
tiếp cận,1022
sửa,1015
phản ánh,1009
thu hút,1005
đồng ý,1002
thi,996
xe ben,993
thu hồi,991
để,990
mong muốn,990
ở,989
hóa,983
phòng,983
nhảy,982
bên trong,981
chắn,978
tước,978
quan sát,976
sản xuất,972
xem xét,970
kinh hoàng,959
phóng,957
đưa ra,951
đợi,945
đạt,933
lấp,932
thăm hỏi,930
đường sắt,929
chảy,927
hướng dẫn,926
lái xe,916
cơ động,913
gác,911
ngừng,909
gãy,908
tháo,903
đứt,902
thống nhất,896
động viên,896
cuốn,895
gây rối,893
cử,889
thả,888
công tác,887
nên,885
nghiêng,884
trực,880
nói chuyện,879
tài trợ,877
nối,872
Tỉnh ủy,868
náo loạn,862
thuê,862
thay thế,861
xô,861
buộc,860
Hạn chế,855
rời,852
trích,846
quan tâm,846
kết hợp,844
qua lại,844
tỏa,840
đập phá,837
mở,836
sợ,832
Quản lý,831
Phát triển,829
phong tỏa,825
mai táng,816
vớt,814
cuốn trôi,814
giật,814
nhìn,813
dập tắt,813
hoảng loạn,812
trúng,811
nhồi,808
coi,808
chơi,807
chất thải,806
thành lập,806
ưu tiên,799
Dân trí,797
trình,794
clip,793
đình chỉ,792
giám sát,792
mua bán,791
Truyền thông,791
dân phòng,786
trở về,785
kèm theo,779
hình thành,778
rời khỏi,775
vươn,775
chụp,774
di dời,773
kiên quyết,773
bùng,771
tụ tập,770
dự kiến,768
theo dõi,767
huấn luyện,765
trở,758
đổi mới,753
họp báo,752
chạy thoát,750
bốc cháy,747
ngược chiều,746
chặn,745
đóng,742
lùa,737
đăng ký,736
bổ sung,735
phân tích,734
thanh tra,734
uống,732
giải cứu,731
nghĩ,730
Ước tính,729
làm ăn,728
sau đó,725
ngọn lửa,725
tấn công,723
cách,721
mg,720
cải tạo,716
ùn,714
có người,712
đáng,711
quy hoạch,710
Dự báo,709
khả thi,709
Đầu tư,709
đóng cửa,709
ủi,707
ách tắc,705
tan,705
kẹt,705
đổi,703
khâu,701
xây xát,695
phản đối,693
chăm sóc,691
giúp đỡ,690
cam kết,687
đá,684
thương tích,683
bật,680
Xây dựng,680
rải,677
hiếu,675
nghỉ lễ,672
Có mặt,667
xin lỗi,666
xe buýt,662
va,660
phân luồng,653
tìm hiểu,652
chú ý,646
lo lắng,645
Cháy,644
xuyên,639
ổn định,636
Về,633
sử,632
lao động,632
công bố,631
nhầm,631
kêu gọi,629
thiết kế,625
đại diện,624
lên tiếng,623
ôm,621
đau,621
nâng cấp,619
đi bộ,618
trước khi,618
bắt buộc,617
vô,616
cháy trụi,615
Rơ moóc,615
làm người,611
áp thấp,610
đề phòng,610
cung cấp,607
quay lại,606
hàn,604
cập,604
điều,603
tháo dỡ,602
Phát hiện,601
bị nạn,601
nhà tầng,600
Giao thông qua,596
mắc,591
lìa,590
phụ thuộc,589
kết nối,589
tuyên truyền,588
vi,588
chiếm hữu,588
bỏ chạy,588
ven biển,586
lát,582
truy cứu,581
liệu,581
kết,580
khối,580
dồn,577
hẹn,577
tăng cường,576
vệ,576
mời,575
xông,574
châm,571
phát sinh,571
khóa,570
xăm,570
hỏa,570
rạn,570
xuống cấp,569
đạp,569
nâng cao,568
chèn ép,568
Chạy,568
quyết,564
