word,times
xe,90
lái xe,43
đường,28
tài xế,26
khách,26
khi,26
xe buýt,24
tai nạn,19
hộp đen,17
người,16
sau,16
tuyến,15
vụ,12
xe khách,12
chuyến,11
tuổi,11
chiều,10
nbsp,10
chỗ,10
giờ,10
lúc,10
nội thành,9
Thành viên,9
nick,9
quận,9
giao thông,9
bên,9
Xe,8
thẻ,8
thời gian,8
doanh nghiệp,8
phương tiện,8
hành khách,8
trước,7
phía,7
Ảnh,7
hình ảnh,7
lăng,7
bến,7
việc,6
bóng,6
quy định,6
giải pháp,6
tháng,6
nhau,6
ngày,6
em,6
ô tô,6
Sáng,6
hướng,6
kính,6
đêm,6
quốc lộ,6
biển,6
ôtô,6
Em,6
anh Quân,6
Tết,5
tốc độ,5
đoạn,5
xe tải,5
vỉa hè,5
dân,5
lái,5
Ô tô,5
Hiện trường,5
tên,5
sáng,5
lần,5
lực lượng,5
Trước,5
Xe buýt,5
kinh nghiệm,5
Hiệp hội,4
hành trình,4
nghề,4
hàng,4
Phó chủ tịch,4
giấy phép,4
ban,4
biển báo,4
hàng loạt,4
nhà,4
cửa,4
dịp,4
nước,4
cầu,4
Hiện,4
Khi,4
dầu,4
trung tâm,4
02,4
cao điểm,4
vụ việc,4
độ,4
sinh viên,3
hư hỏng,3
xe ôm,3
khu vực,3
báo,3
xe máy,3
tàu,3
lĩnh vực,3
năm,3
trường,3
Đại học,3
cảm giác,3
mức độ,3
vé,3
Vụ,3
đông lạnh,3
lề,3
diễn đàn,3
trái,3
đèn đỏ,3
loại,3
tải,3
trên,3
tuyến đường,3
giao lộ,3
vấn đề,3
đường phố,3
6446,3
Khoảng,3
chức năng,3
tình trạng,3
nhân viên,3
nghiêng,3
Diễn đàn,3
chuyện,3
tính mạng,3
con người,3
ý kiến,3
vệ,3
tiếng,3
bò,3
chuồng,3
lốp,3
chủ,3
Nguy hiểm,3
xưởng,3
lá,3
gẫy,3
gara,3
chỗ ngồi,3
không ai,3
ga,3
trách nhiệm,3
xe tăng,3
phuc,3
Nhà,3
name,3
xung quanh,3
dịch vụ,3
tỏ ra,3
Tính mạng,3
bộ phận,2
mẫu,2
nội dung,2
thủ đô,2
trọng điểm,2
trật,2
thành phố,2
Công an,2
Điều,2
Sở,2
Thanh tra,2
chủ trương,2
thiết bị,2
được việc,2
ý thức,2
bản thân,2
quyền lợi,2
Giải pháp,2
trạm,2
chất lượng,2
nồng độ,2
thức dậy,2
hiện trường,2
đánh thức,2
Lực lượng,2
ngủ gật,2
con,2
dải,2
tông,2
từ đường,2
035.52,2
bồn,2
công an,2
nguyên nhân,2
nạn nhân,2
đường dẫn,2
trụ,2
va chạm,2
phường,2
xa lộ,2
quê,2
đầu vào,2
thanh niên,2
liên hoàn,2
Xe khách,2
cồn,2
thương vong,2
cửa xe,2
quẹt,2
Chủ nhiệm,2
18-20,2
lương,2
đến là,2
bạn bè,2
hồ sơ,2
Phó Chủ tịch,2
biện pháp,2
quá giờ,2
công ty,2
cơ quan chức năng,2
khoảng,2
cánh,2
im ỉm,2
bãi,2
ghế,2
văn phòng,2
xong xuôi,2
sàn,2
tình huống,2
phố,2
01,2
tim,2
mặt đường,2
vn,2
giấc,2
hãng,2
Khách,2
15-16,2
khởi hành,2
đường đi,2
13-14,2
đảo,2
ca,2
mắt,2
vợ con,2
Hợp tác xã,2
số,2
phần,2
tù mù,2
Giao thông,2
lệnh,2
Hiện nay,2
giải,2
pháp,2
thuê bao,2
tiền,2
đại diện,2
nơi,2
lỗ hổng,2
chặng,2
Vụ trưởng,2
cho rằng,2
Bộ,2
ma tuý,2
chính sách,2
trộm,2
điều kiện,2
dọc đường,2
nhà hàng,2
choàng,2
tỉnh,2
vã,2
mặt,2
miền Trung,2
giới,2
trường hợp,2
bữa,2
cabin,2
tối,2
Phía,2
Thời gian,1
Sự việc,1
15,000,1
Sau,1
phóng viên,1
độc giả,1
địa điểm,1
ngã tư,1
thời điểm,1
cột,1
Dân,1
Báo,1
tiệm,1
dây nóng,1
tạp hóa,1
eSight,1
tuần,1
hạnh phúc,1
nam,1
Xảy ra,1
mẹ,1
trai,1
Năm,1
bệnh,1
dạng,1
điểm,1
Sau đó,1
điểm mù,1
thị giác,1
con trai,1
bệnh viện,1
Cô,1
cảm xúc,1
Kinh hãi,1
