word,times
trên,42
không,41
vào,36
để,32
này,30
trong,24
đang,20
của,20
thì,19
đến,19
và,19
cũng,17
mới,17
những,16
container,16
lại,15
chiếc,15
cho,15
quá,15
nhưng,15
về,15
sẽ,15
khác,15
do,14
các,13
giờ,13
vẫn,12
hoặc,12
với,12
Ông,11
đó,11
nên,11
có thể,11
nghiêng,10
phút,10
hơn,10
tại,10
nhiều,9
nhất là,9
nếu,9
từ,9
đã,9
vậy,8
đông,8
chỉ,8
ở,8
nào,7
giữa,7
là,7
cùng,7
gần,7
tốt,7
thường,6
bằng,6
chặt chẽ,6
hơi,6
liên tục,6
Trên,6
mà,6
rất,6
cứ,6
khó,6
anh,6
rồi,6
ngay,6
vô,5
lớn,5
Anh,5
khó khăn,5
nặng,5
Tuy nhiên,5
như vậy,5
đặc biệt,5
nhất,5
đây,5
ít,5
được,5
vì,5
rõ,5
bất cứ,5
an toàn,5
hay,4
con,4
đủ,4
Ngay,4
mệt,4
mù,4
đồng,4
Người,4
không thể,4
ngon,4
nay,4
luôn,4
Các,4
Vì thế,4
quan trọng,4
từng,4
vào khoảng,3
ai,3
dễ,3
Một số,3
Chưa,3
mạnh,3
bất tỉnh,3
Để,3
tấn,3
rón rén,3
Trong,3
kia,3
xấu,3
thế,3
ông,3
chủ quản,3
Hơn nữa,3
Bao nhiêu,3
trái,3
một số,3
nghiêm trọng,3
gấp,3
lúc nào,3
vững,3
hỏng,3
Khó khăn,3
bức xúc,3
Hằng,3
Chiếc,3
bồng bềnh,3
gì,3
May mắn,3
Thật,2
cực kỳ,2
chuyên,2
cho hay,2
hoàn toàn,2
cô,2
phân cách,2
rằng,2
tuy nhiên,2
nữa,2
ngay cả,2
thực sự,2
Bất cứ,2
Từ,2
người,2
hết,2
tự,2
sai,2
quy định,2
đúng,2
thẳng,2
mình,2
km,2
qua,2
làn,2
Cú,2
ngược lại,2
phải,2
trước,2
đầy,2
trống,2
sắp,2
Nhưng,2
kịp,2
kèm nhèm,2
còn,2
Nếu,2
cho rằng,2
trẻ,2
mệt mỏi,2
Nhiều,2
cả,2
Dù,2
Ai,2
khoảng,2
dưới,2
vun vút,2
phức tạp,2
Đang,2
02,2
sát,2
tới,2
Ở,2
ngắn,2
ta,2
vật vờ,2
An toàn,2
Không,2
vừa,2
tất nhiên,2
Vừa,2
một mình,2
trần,2
hiếm,2
Thường,2
kín,2
nó,2
tỉnh bơ,2
hề,2
hàng,2
Khoảng,2
bỗng dưng,2
một vài,2
đảm nhận,2
Cái,2
Bây giờ,1
01,1
ngon lành,1
bất ngờ,1
loạn xạ,1
gọi là,1
website,1
vàng,1
tràn ngập,1
sợ hãi,1
hẳn,1
chưa,1
Cô,1
vui,1
buồn ngủ,1
vài,1
