xe,604206
người,488001
tai nạn,438163
vụ,286667
đường,247845
khi,199132
tỉnh,180460
xe khách,179547
tài xế,178748
huyện,173143
hiện trường,163081
xe tải,157316
xe máy,149829
sau,144973
nạn nhân,141139
ô tô,133113
tuổi,126038
giao thông,122408
đầu,113131
ngày,113057
xã,103110
dân,93157
chỗ,90499
Công an,80727
nạn,74847
hướng,72857
chiều,70683
Vụ,70431
đoạn,69378
trên,68548
Sau,65924
nguyên nhân,64855
lực lượng,63023
phía,60611
số,55505
Khi,54813
công an,53953
quận,51127
bệnh viện,48430
thông tin,48280
vụ việc,48208
bên,47556
phương tiện,46839
sáng,46824
khu vực,45779
gia đình,44470
phần,43559
ban đầu,41368
Hiện trường,40812
cầu,40642
thời điểm,39001
hành khách,38295
đàn ông,38150
khoảng,37101
chức năng,36886
trước,36665
khách,36633
Bệnh viện,36195
Xe,35157
phường,35111
nhà,34996
thanh niên,34639
giờ,34198
con,33209
biển,32874
tàu,32859
Hiện,32322
lúc,31923
quê,31803
tốc độ,31735
nhau,31656
ngoài,31037
lái xe,30907
quốc lộ,30129
tuyến,28407
cơ quan,27994
=,26952
Tài xế,26891
tông,26322
cao tốc,26248
tiếng,26234
cơ quan chức năng,25313
gầm,24220
tin,23615
va chạm,23148
thị trấn,23054
nam,22454
đèo,22199
nơi,22054
Quốc lộ,21854
Thông tin,21550
bồn,20860
Đa khoa,20343
em,20317
Trước,20055
phụ nữ,20019
quy định,20010
Báo,19966
báo,19851
chân,19768
đơn vị,19620
Giao thông,19520
thị xã,19369
địa phận,19146
thôn,19144
Sở,19116
đuôi,19097
lớp,18757
mặt đường,18620
phân cách,18406
việc,18220
giường,17960
mẹ,17911
năm,17775
nữ sinh,17727
Ban,17465
bé,17416
cửa xe,17211
Hậu quả,17058
cửa,16703
thời gian,16656
cách,16462
h,16408
sự việc,16360
ga,16275
đường bộ,16193
Nguyên nhân,16188
dải,16091
làn,16058
tải,16045
bánh,16039
lang,15830
địa bàn,15827
dốc,15749
vợ,15628
hành trình,15458
Chủ tịch,15349
hàng,15257
người thân,15204
cú,15018
điện,14924
Ngày,14626
thi thể,14376
Cảnh sát,14171
tháng,14156
phanh,14060
nước,14057
Xe khách,13921
ngã tư,13865
địa phương,13830
công tác,13779
Ảnh,13686
tình trạng,13635
phút,13432
hiện,13425
lái,13370
vợ chồng,13300
Cơ quan,13300
ruộng,13297
Khoảng,12949
nhân chứng,12741
Lực lượng,12404
cán bộ,12078
vỉa hè,12057
lần,12041
mặt,11985
loại,11880
xe buýt,11878
đường sắt,11855
vực,11821
học sinh,11630
đa khoa,11597
Xe tải,11510
Tin,11292
Tai nạn,11171
đêm,11164
Trung tâm,10990
xe ben,10946
cô gái,10925
xảy ra,10864
lề đường,10855
Bộ,10686
điều,10511
pháp luật,10350
nhân,10314
Công ty,10294
cảnh sát,10251
lãnh đạo,10202
thiết bị,10002
dầu nhớt,9893
con gái,9844
địa điểm,9772
trụ sở,9747
trời,9743
vị trí,9689
Lúc,9686
gái,9579
Giám đốc,9571
Vụ việc,9445
trưa,9437
núi,9430
lửa,9371
Phòng,9366
xe đạp,9326
làm người,9226
tay lái,9161
công nhân,9111
con trai,9066
cầu vượt,9039
