và,362239
đã,355752
trên,325700
tại,227090
vào,224375
đang,188054
chiếc,178091
của,173012
trong,167335
với,161324
các,151255
đó,132980
để,130506
không,129604
do,120347
ở,119357
cùng,116217
đến,108271
thì,107562
này,105888
từ,105635
người,104402
về,95572
nặng,88050
ông,85930
anh,84627
nhiều,81763
nên,74462
container,73357
rõ,68585
chị,68143
tại chỗ,66175
cũng,64709
bất ngờ,62717
giữa,57724
được,56172
rồi,54868
cho,54141
Chiếc,53881
gần,47813
khác,45866
nhưng,45549
mạnh,43700
là,42295
tôi,40001
vẫn,39597
nghiêm trọng,39531
những,39404
chưa,39250
chỉ,35918
Người,35588
tới,34932
còn,33717
cả,32950
trước,31468
mới,30942
đều,30305
khoảng,29485
rất,29448
Tại,29067
dưới,28549
sẽ,28507
hơn,28308
vì,27018
Ông,26902
vừa,26195
Ngay,26164
nay,25603
như,24637
bà,24488
vào khoảng,23244
quá,23242
Trong,22281
nhẹ,20684
đồng,20514
ngay,20322
qua,19951
làn,19650
một số,19369
m,19006
thẳng,18982
Nhiều,18927
km,17864
ngang,17845
cháu,17655
Các,17347
mà,17050
an toàn,16586
cao,16538
mình,15884
lớn,15204
con,15159
đối với,14461
Tuy nhiên,14324
kịp,14261
hàng,14201
may,13976
đây,13800
mọi,13511
nhanh chóng,13486
Tôi,13464
nát,13063
mỗi,12905
hoàn toàn,12836
Chị,12737
lại,12707
Do,12045
bằng,11850
Đến,11605
có thể,11580
hay,11287
liên tục,11172
đoàn,11079
nhanh,11007
từng,10988
gì,10804
video,10678
bàng hoàng,10403
ít nhất,10268
đồng thời,10171
xa,9797
mét,9507
bức xúc,9501
ai,9358
kịp thời,9299
vài,9197
đặc biệt,9070
to,9003
Vào,8980
tạm,8866
đúng,8704
chặt,8635
nào,8590
nếu,8568
Anh,8490
may mắn,8366
khá,8339
nhất,8142
taxi,7920
họ,7899
Những,7867
dài,7817
hoặc,7794
sâu,7650
điên,7596
dữ dội,7567
An toàn,7419
vụ,7406
