bị,277231
ra,245792
đi,209039
khiến,202576
được,188079
tử vong,187200
có,165623
bị thương,154350
chạy,135965
làm,135222
xảy,120255
chết,118871
biết,117680
điều khiển,97067
đưa,94109
chở,93075
đâm,90442
ô tô,90028
Theo,89726
cấp cứu,89042
cho,87633
va chạm,86936
xuống,85935
gây,84678
điều tra,82334
tông,78853
lao,78499
là,77857
lưu thông,76602
xảy ra,73564
theo,72010
phải,66734
đến,65845
nằm,64477
mang,61466
lại,59457
lên,57756
có mặt,57287
kéo,56381
qua,53742
gặp,50474
xử lý,49447
mất,48468
trú,46172
nói,45221
dừng,44016
ngụ,41840
lật,40540
tiếp tục,40459
xem,37883
lái,34746
thấy,34553
ngã,33359
hư hỏng,32428
cứu hộ,30528
văng,29516
kinh hoàng,29048
Bấm,28976
xuống đường,28942
thuộc,28777
ngồi,28543
về,28135
xác định,26801
khỏi,26767
gãy,24951
hỗ trợ,24826
khám nghiệm,24400
tránh,23987
sang,22869
dẫn,22451
cán,22283
lấn,22113
mở,22101
Nhận,20610
tiến hành,20445
vào,20147
tràn,19595
nhận,19587
lái xe,19228
giao,19199
đổ,18354
điều trị,17604
làm việc,16919
hết,16752
chuyển,16739
di chuyển,16615
thương vong,16590
Được,16499
kiểm soát,16170
cháy,15981
dùng,15964
vận tải,15828
kinh doanh,15565
húc,15398
đánh,15366
Đến,15150
cứu,15057
thông,14693
quan sát,14428
phát hiện,14388
bị nạn,14177
chỉ đạo,13894
lấy,13758
h,13536
sống,13488
điều tiết,13406
tổ chức,13397
rơi,13333
liên hoàn,13229
biến dạng,13204
phối hợp,13122
phụ,13034
kiểm tra,13023
thiệt mạng,13000
còn,12491
thăm hỏi,12359
cách,12345
ngược chiều,12237
liên quan,12223
tử nạn,12198
thi,12181
kể,12171
bốc cháy,12139
đỗ,11984
cuốn,11899
rước dâu,11743
kẹt,11660
ùn tắc,11580
khóc,11555
giải quyết,11519
yêu cầu,11507
vi phạm,11424
mắc kẹt,11353
dính,11218
chứng kiến,11150
hướng,11004
chấn thương,10977
bán,10950
quản lý,10688
mở cửa,10616
thoát,10607
quy định,10589
đậu,10418
nổ,10350
giám sát,10285
sinh,10152
khai,10148
nhập viện,10120
Trao đổi,9981
cho biết,9956
phân luồng,9940
lùi,9877
trượt,9827
trực diện,9803
thêm,9715
kéo theo,9714
hoảng loạn,9692
du lịch,9571
nghiêng,9538
nghe,9535
tham gia,9403
học,9296
thảm khốc,9268
thương tâm,9177
tới,9135
bồn,9100
vỡ,9073
có người,9067
nhờ,9044
rời khỏi,8947
tài trợ,8800
Ô tô,8731
gồm,8539
ngược,8475
té,8409
va,8313
bảo vệ,8259
tăng,8222
đẩy,8112
cơ quan chức năng,8089
bay,8083
thi thể,8005
trúng,7977
cấm,7877
tìm,7875
vượt,7850
vi,7847
huy động,7659
xoay,7579
tập trung,7547
giữ,7536
chờ,7371
tải,7346
theo dõi,7129
động viên,7101
hất,7086
cần,7080
dập,7046
đối đầu,7033
lập,6991
ra vào,6971
làm người,6948
tiếp,6872
phanh,6803
phá,6634
xin,6620
kiểm định,6619
dầu nhớt,6604
hóa,6576
Lúc này,6572
gào,6547
cắt,6531
nát bét,6527
nghỉ,6443
chảy,6430
cảnh báo,6337
nhân,6288
thông qua,6269
thi công,6258
mưa,6229
trụ,6173
quay,6156
trộn,6134
đa,6084
đưa tin,6063
bẹp dúm,6041
ách tắc,6018
nhớ,5981
xe ben,5911
ôm,5893
ăn,5888
đảm bảo,5820
ghi,5722
máy cày,5719
sập,5699
la hét,5632
chịu,5593
báo,5593
sử dụng,5589
chia sẻ,5520
đè,5511
gửi,5486
gọi,5465
chắn,5439
đứng,5399
cho hay,5361
thắng,5348
Liên quan,5345
xác nhận,5258
lo,5253
phục vụ,5242
view,5241
consider,5241
web,5241
please,5241
that,5241
đặt,5176
rẽ,5143
cử,5142
chạy theo,5093
Ghi nhận,5061
tàu hỏa,5046
=,5026
khởi tố,4959
nêu,4909
kể lại,4907
chống,4862
Va chạm,4862
bỏ,4857
định,4836
ngủ,4830
xây dựng,4816
chặn,4783
bảo,4764
sau đó,4758
nát vụn,4730
chuẩn bị,4681
em ruột,4662
Thấy,4647
dành,4605
Vào,4596
xác minh,4581
lo lắng,4581
thiếu,4574
kéo dài,4535
danh tính,4526
quảng cáo,4516
sụt,4510
Hiện trường,4466
cố,4397
Tổng cục,4363
về quê,4358
center,4352
chết người,4328
vu,4291
khắc phục,4257
hoạt động,4214
bảo đảm,4193
kết thúc,4164
đưa vào,4164
cứu chữa,4107
đề nghị,4043
cố gắng,4037
chao đảo,4019
đập,4008
lọt,3997
xe khách,3991
đạp,3978
qua đường,3955
cẩu,3955
tuần tra,3923
bỏ trốn,3891
loạng choạng,3890
thực hiện,3878
gấp,3873
tự tin,3848
bắt nạt,3848
ba mẹ,3848
thay đổi,3848
hô hấp,3848
thăm,3847
hay,3833
lấp,3797
làm chủ,3781
trao đổi,3773
chơi,3754
kết luận,3745
công tác,3740
thông tin,3729
giải cứu,3721
khẩn trương,3713
thiệt hại,3693
tê liệt,3662
ghi nhận,3637
width,3626
cực mạnh,3603
giảm,3597
cho rằng,3567
xe buýt,3557
kéo lê,3527
cửa xe,3521
móc,3515
phóng,3502
trước khi,3470
tăng cường,3469
vận chuyển,3446
bắt đầu,3435
đường tránh,3430
đấu,3428
cho là,3417
sản xuất,3397
chú rể,3390
quyết định,3383
tìm hiểu,3375
chấp hành,3367
http,3348
Dân trí,3335
nhằm,3297
đón dâu,3295
giám định,3274
cung cấp,3270
tiếp nhận,3251
hướng dẫn,3225
ảnh hưởng,3212
tốt nghiệp,3192
Trước khi,3189
trôi,3163
đoạn giao,3161
anh Tuấn,3149
phẫu thuật,3136
bắt,3134
vực,3124
dập tắt,3113
đối diện,3111
phản ánh,3085
điều động,3083
phong tỏa,3069
chăm sóc,3063
vọt,3060
Cách,3055
leo,3033
vận hành,2997
align,2994
đường sắt,2993
xuất phát,2990
yết,2990
mua,2986
cho phép,2972
sống sót,2971
chắn ngang,2962
bật,2950
kẹt cứng,2940
rời,2939
bất động,2936
cầm lái,2927
thành,2914
chìm,2901
bám,2900
kẹp,2900
xây xát,2880
’,2878
truy cứu,2868
khẳng định,2861
bốc,2861
nâng,2850
trở lại,2844
Qua,2843
thảm,2832
